Date,US Institutional,US Individual
1/1/09,81.61,75.45
12/1/08,81.25,73.18
11/1/08,80.66,72.98
10/1/08,81.59,75.82
9/1/08,80.74,74.24
8/1/08,80.45,74.49
7/1/08,79.28,75.18
6/1/08,80.42,72.12
5/1/08,82.03,71.92
4/1/08,81.29,70.75
3/1/08,79.74,72.47
2/1/08,79.55,72.18
1/1/08,80.37,72.33
12/1/07,79.87,76.58
11/1/07,77.58,78.07
10/1/07,76.95,79.41
9/1/07,78.22,77.46
8/1/07,79.41,78.3
7/1/07,76.92,79.27
6/1/07,76.99,80
5/1/07,78.16,80.15
4/1/07,81.18,80
3/1/07,80,85.95
2/1/07,75.58,86.36
1/1/07,74.51,85.38
12/1/06,75,83.89
11/1/06,75.21,85.29
10/1/06,73.74,85.22
9/1/06,74.73,83.5
8/1/06,81.11,82.35
7/1/06,87.18,82.52
6/1/06,88.89,87.5
5/1/06,92.59,83.33
4/1/06,92,83.93
3/1/06,87.78,84.13
2/1/06,83.91,83.93
1/1/06,78.57,82.73
12/1/05,77.14,81.98
11/1/05,74.36,82.73
10/1/05,72.57,80.51
9/1/05,74.6,80.49
8/1/05,75,81.82
7/1/05,75.57,84.25
6/1/05,76.86,84.25
5/1/05,81.82,85.52
4/1/05,79.49,86.27
3/1/05,79.21,87.84
2/1/05,81.48,87.7
1/1/05,82.19,87.8
12/1/04,75.56,88.62
11/1/04,72.09,87.2
10/1/04,72.94,87.18
9/1/04,71.11,85.83
8/1/04,72.9,84.87
7/1/04,74.34,83.87
6/1/04,77.57,84.47
5/1/04,77.45,85.42
4/1/04,81.11,87.32
3/1/04,88.04,89.29
2/1/04,87.91,93.38
1/1/04,90.1,95.62
12/1/03,92.52,95.28
11/1/03,91.74,93.18
10/1/03,90.83,92.99
9/1/03,89.19,93.06
8/1/03,88.06,90.57
7/1/03,87.5,88.89
6/1/03,86.92,89.39
5/1/03,88.29,90.86
4/1/03,85.71,91.03
3/1/03,84.35,89.62
2/1/03,86.21,90.85
1/1/03,82.8,90.48
12/1/02,80.23,88.51
11/1/02,80.25,86.47
10/1/02,80.25,85.5
9/1/02,81.48,84.48
8/1/02,80.77,85.04
7/1/02,84.15,87.5
6/1/02,84.21,88.39
5/1/02,83.18,89.33
4/1/02,80,88.78
3/1/02,81.67,90.59
2/1/02,80,89.08
1/1/02,78.95,88.49
12/1/01,74.55,89.09
11/1/01,73.2,90.32
10/1/01,79.52,92.5
9/1/01,77.65,88.64
8/1/01,78.05,90.79
7/1/01,77.22,90.14
4/1/01,87.5,89.55
10/1/00,74.07,75.61
4/1/00,56.82,76.34
10/1/99,66.67,77.14
4/1/99,54.74,75.59
