Date,US Institutional,US Individual
6/1/14,65.08,49
5/1/14,66.12,50.82
4/1/14,66.49,48.95
3/1/14,67.03,47.72
2/1/14,63.29,46.55
1/1/14,64.13,50.75
12/1/13,68.47,51
11/1/13,68.02,52.91
10/1/13,69.7,55.32
9/1/13,67.98,55.67
8/1/13,69.66,59.16
7/1/13,66.47,58.13
6/1/13,62.75,61.11
5/1/13,64.71,60.99
4/1/13,66.45,63.86
3/1/13,65.75,62.3
2/1/13,66.48,61.54
1/1/13,70.74,59.78
12/1/12,72.16,59.12
11/1/12,71.58,62.35
10/1/12,72.9,61.85
9/1/12,77.98,66.84
8/1/12,78.32,68.81
7/1/12,78.86,69.77
6/1/12,80.08,70.51
5/1/12,81.53,71.09
4/1/12,81.4,71.69
3/1/12,81.09,71.53
2/1/12,80.88,71.48
1/1/12,82.73,71.26
12/1/11,82.7,70.09
11/1/11,80.09,69.11
10/1/11,79.09,69.27
9/1/11,75.66,63.87
8/1/11,74.82,61.75
7/1/11,73.05,64.58
6/1/11,72.22,64.75
5/1/11,73.21,63.44
4/1/11,73.04,63.92
3/1/11,73.54,66.8
2/1/11,73.84,67.86
1/1/11,75.29,69.06
12/1/10,74.74,67.58
11/1/10,72.25,68.69
10/1/10,72.25,67.68
9/1/10,66.39,67.21
8/1/10,69.66,67.96
7/1/10,63.49,63.87
6/1/10,59.38,65.64
5/1/10,60.74,65.43
4/1/10,62.11,62.38
3/1/10,65.7,63.35
2/1/10,66.67,64.94
1/1/10,64.65,66.95
12/1/09,70.23,67.91
11/1/09,73.16,67.82
10/1/09,74.23,71.72
9/1/09,75.11,72.54
8/1/09,75.14,74.33
7/1/09,80.11,77.25
6/1/09,79.89,76.92
5/1/09,81.43,81.82
4/1/09,82.81,79.35
3/1/09,82.29,77.25
2/1/09,80.85,75.56
1/1/09,81.46,72.93
12/1/08,80.65,70.56
11/1/08,79.65,69.92
10/1/08,78.41,68.54
9/1/08,77.74,66.36
8/1/08,78.86,67.91
7/1/08,76.6,69.97
6/1/08,77.04,66.67
5/1/08,77.84,64.62
4/1/08,76.31,63.53
3/1/08,76.32,62.3
2/1/08,75.07,61.46
1/1/08,76.23,59.58
12/1/07,75.77,61.43
11/1/07,73.9,61.61
10/1/07,74.33,63.67
9/1/07,73.26,65.97
8/1/07,73.97,64.29
7/1/07,72.68,65.12
