Date,US Institutional,Japan Institutional
Dec-17,65.14,78.66
Jan-18,65.89,76.83
Feb-18,65.52,76.33
Mar-18,62.81,76.61
Apr-18,63.23,79.29
May-18,68.42,80.49
Jun-18,72.67,80.61
Jul-18,72.31,78.57
Aug-18,72.73,78.7
Sep-18,75.61,77.78
Oct-18,79.25,77.78
Nov-18,77,75.66
Dec-18,70.1,76.19
Jan-19,74.8,76.19
Feb-19,75,75.13
Mar-19,74.63,74.32
Apr-19,75.61,73.26
May-19,73.44,NA
Jun-19,75.59,NA
Jul-19,72,NA
Aug-19,69.52,NA
Sep-19,68,NA
Oct-19,66.33,NA
Nov-19,70.09,NA
Dec-19,72.22,NA
Jan-20,72.17,NA
Feb-20,79.34,NA
Mar-20,81.42,NA
Apr-20,80.99,NA
May-20,81.9,NA
Jun-20,79.59,NA
Jul-20,80.95,NA
Aug-20,72.86,NA
Sep-20,69.86,NA
Oct-20,67.61,NA
Nov-20,62.86,NA
Dec-20,61.54,NA
Jan-21,61.9,NA
Feb-21,62.12,NA
