Date,GDP
1/1/47,243.164
4/1/47,245.968
7/1/47,249.585
10/1/47,259.745
1/1/48,265.742
4/1/48,272.567
7/1/48,279.196
10/1/48,280.366
1/1/49,275.034
4/1/49,271.351
7/1/49,272.889
10/1/49,270.627
1/1/50,280.828
4/1/50,290.383
7/1/50,308.153
10/1/50,319.945
1/1/51,336
4/1/51,344.09
7/1/51,351.385
10/1/51,356.178
1/1/52,359.82
4/1/52,361.03
7/1/52,367.701
10/1/52,380.812
1/1/53,387.98
4/1/53,391.749
7/1/53,391.171
10/1/53,385.97
1/1/54,385.345
4/1/54,386.121
7/1/54,390.996
10/1/54,399.734
1/1/55,413.073
4/1/55,421.532
7/1/55,430.221
10/1/55,437.092
1/1/56,439.746
4/1/56,446.01
7/1/56,451.191
10/1/56,460.463
1/1/57,469.779
4/1/57,472.025
7/1/57,479.49
10/1/57,474.864
1/1/58,467.54
4/1/58,471.978
7/1/58,485.841
10/1/58,499.555
1/1/59,510.33
4/1/59,522.653
7/1/59,525.034
10/1/59,528.6
1/1/60,542.648
4/1/60,541.08
7/1/60,545.604
10/1/60,540.197
1/1/61,545.018
4/1/61,555.545
7/1/61,567.664
10/1/61,580.612
1/1/62,594.013
4/1/62,600.366
7/1/62,609.027
10/1/62,612.28
1/1/63,621.672
4/1/63,629.752
7/1/63,644.444
10/1/63,653.938
1/1/64,669.822
4/1/64,678.674
7/1/64,692.031
10/1/64,697.319
1/1/65,717.79
4/1/65,730.191
7/1/65,749.323
10/1/65,771.857
1/1/66,795.734
4/1/66,804.981
7/1/66,819.638
10/1/66,833.302
1/1/67,844.17
4/1/67,848.983
7/1/67,865.233
10/1/67,881.439
1/1/68,909.387
4/1/68,934.344
7/1/68,950.825
10/1/68,968.03
1/1/69,993.337
4/1/69,1009.02
7/1/69,1029.956
10/1/69,1038.147
1/1/70,1051.2
4/1/70,1067.375
7/1/70,1086.059
10/1/70,1088.608
1/1/71,1135.156
4/1/71,1156.271
7/1/71,1177.675
10/1/71,1190.297
1/1/72,1230.609
4/1/72,1266.369
7/1/72,1290.566
10/1/72,1328.904
1/1/73,1377.49
4/1/73,1413.887
7/1/73,1433.838
10/1/73,1476.289
1/1/74,1491.209
4/1/74,1530.056
7/1/74,1560.026
10/1/74,1599.679
1/1/75,1616.116
4/1/75,1651.853
7/1/75,1709.82
10/1/75,1761.831
1/1/76,1820.487
4/1/76,1852.332
7/1/76,1886.558
10/1/76,1934.273
1/1/77,1988.648
4/1/77,2055.909
7/1/77,2118.473
10/1/77,2164.27
1/1/78,2202.76
4/1/78,2331.633
7/1/78,2395.053
10/1/78,2476.949
1/1/79,2526.61
4/1/79,2591.247
7/1/79,2667.565
10/1/79,2723.883
1/1/80,2789.842
4/1/80,2797.352
7/1/80,2856.483
10/1/80,2985.557
1/1/81,3124.206
4/1/81,3162.532
7/1/81,3260.609
10/1/81,3280.818
1/1/82,3274.302
4/1/82,3331.972
7/1/82,3366.322
10/1/82,3402.561
1/1/83,3473.413
4/1/83,3578.848
7/1/83,3689.179
10/1/83,3794.706
1/1/84,3908.054
4/1/84,4009.601
7/1/84,4084.25
10/1/84,4148.551
1/1/85,4230.168
4/1/85,4294.887
7/1/85,4386.773
10/1/85,4444.094
1/1/86,4507.894
4/1/86,4545.34
7/1/86,4607.669
