Date,DJI_close,DJI_pct,ins_conf,ind_conf,ins_val,ind_val,ins_crash,ind_crash
2005-06-01,10549.8701171875,0.007871010477016771,76.86,84.25,72.39,66.88,43.28,44.83
2005-07-01,10303.4404296875,0.00277087951426247,75.57,84.25,73.97,65.63,45.21,44.07
2005-08-01,10623.150390625,-0.0016690081359787001,75.0,81.82,74.68,66.25,44.65,45.76
2005-09-01,10459.6298828125,-0.0020960280282839028,74.6,80.49,73.97,64.79,46.26,44.81
2005-11-01,10406.76953125,-0.0031897085223773214,74.36,82.73,76.09,66.15,50.0,46.21
2005-12-01,10912.5703125,0.009874280752531606,77.14,81.98,79.07,64.93,50.76,47.59
2006-02-01,10953.9501953125,0.008199814895659241,83.91,83.93,81.9,65.38,53.27,44.52
2006-03-01,11053.5302734375,0.005468741394436316,87.78,84.13,85.19,68.31,53.64,46.99
2006-05-01,11343.2900390625,-0.0020981187979227656,92.59,83.33,87.69,68.57,57.81,46.34
2006-06-01,11260.2802734375,0.008234970793563612,88.89,87.5,87.67,69.0,49.3,43.36
2006-08-01,11125.73046875,-0.005359461420747946,81.11,82.35,79.63,69.49,40.74,41.79
2006-09-01,11464.150390625,0.007292760147372235,74.73,83.5,75.45,69.23,40.0,39.23
2006-11-01,12031.01953125,-0.004114895008094921,75.21,85.29,77.14,73.33,45.39,42.07
2006-12-01,12194.1298828125,-0.00227458391582247,75.0,83.89,75.76,73.78,49.62,39.11
2007-02-01,12673.6796875,0.004119040797436746,75.58,86.36,80.21,76.64,57.29,36.91
2007-03-01,12234.33984375,-0.00279493630421912,80.0,85.95,82.42,73.64,54.84,35.21
2007-05-01,13136.1396484375,0.005605909503439532,78.16,80.15,75.0,67.79,45.74,29.94
2007-06-01,13668.1103515625,0.0029697514880826503,76.99,80.0,71.97,66.45,38.24,29.48
2007-08-01,13362.3701171875,0.011382076443051004,79.41,78.3,73.97,64.29,34.8,29.89
2007-10-01,14087.5498046875,0.01381153092688403,76.95,79.41,74.33,63.67,36.15,29.17
2007-11-01,13567.8701171875,-0.02599708503659126,77.58,78.07,73.9,61.61,36.39,28.37
2008-02-01,12743.1904296875,0.0073381370605409835,79.55,72.18,75.07,61.46,36.89,30.16
2008-04-01,12654.3603515625,0.03192320198158849,81.29,70.75,76.31,63.53,34.64,29.27
2008-05-01,13010.0,0.014810311511902263,82.03,71.92,77.84,64.62,36.75,29.85
2008-07-01,11382.259765625,0.0028414072468618823,79.28,75.18,76.6,69.97,38.51,26.49
2008-08-01,11326.3203125,-0.004543780102328587,80.45,74.49,78.86,67.91,34.84,25.99
2008-10-01,10831.0703125,-0.0018054057050820305,81.59,75.82,78.41,68.54,29.05,24.75
2008-12-01,8149.08984375,-0.0770129246559289,81.25,73.18,80.65,70.56,20.58,17.72
2009-04-01,7761.60009765625,0.020065945935678453,80.95,72.16,82.81,79.35,20.94,14.57
2009-05-01,8212.41015625,0.005422305062495747,80.34,75.0,81.43,81.82,22.92,18.67
2009-06-01,8721.4404296875,0.026011972421107643,79.52,73.94,79.89,76.92,26.4,22.07
2009-07-01,8504.0595703125,0.006755010099739556,79.52,72.84,80.11,77.25,27.6,25.0
2009-09-01,9310.599609375,-0.01955298903528324,76.14,79.38,75.11,72.54,29.36,33.03
2009-10-01,9509.2802734375,-0.020901373754131924,76.36,79.59,74.23,71.72,29.37,31.41
2009-12-01,10471.580078125,0.012251541472782845,75.14,79.05,70.23,67.91,31.98,31.56
2010-02-01,10185.5302734375,0.011740967505310396,77.09,77.58,66.67,64.94,32.55,32.06
2010-03-01,10403.7900390625,0.00760564627138427,77.36,76.59,65.7,63.35,35.71,29.84
2010-04-01,10927.0703125,0.006488240867363215,77.92,76.63,62.11,62.38,36.84,32.0
2010-06-01,10024.01953125,-0.011109249609028371,76.67,77.84,59.38,65.64,34.07,33.49
2010-07-01,9732.5302734375,-0.00424485112597206,75.44,76.22,63.49,63.87,33.83,30.92
2010-09-01,10269.4697265625,0.02543755661222491,73.68,76.77,66.39,67.21,33.06,28.28
