Date,ins_conf,ind_conf,ins_val,ind_val,ins_crash,ind_crash
2012-08-01,82.38,78.53,78.32,68.81,30.13,29.78
2012-07-01,81.82,79.68,78.86,69.77,32.26,30.67
2012-06-01,83.26,79.71,80.08,70.51,31.58,32.28
2012-05-01,82.72,78.82,81.53,71.09,29.12,29.6
2012-04-01,81.55,78.72,81.4,71.69,29.75,29.11
2012-03-01,79.8,78.6,81.09,71.53,26.38,27.24
2012-02-01,78.97,77.54,80.88,71.48,24.5,24.75
2012-01-01,80.09,75.66,82.73,71.26,22.8,20.98
2011-12-01,77.2,73.6,82.7,70.09,22.03,18.43
2011-11-01,76.79,75.9,80.09,69.11,24.17,16.91
2011-10-01,76.84,75.45,79.09,69.27,24.89,17.22
2011-09-01,77.89,73.17,75.66,63.87,26.84,21.18
2011-08-01,80.89,74.59,74.82,61.75,33.57,25.54
2011-07-01,80.57,78.4,73.05,64.58,35.48,27.97
2011-06-01,81.75,79.13,72.22,64.75,36.19,28.37
2011-05-01,81.62,77.27,73.21,63.44,36.86,28.86
2011-04-01,82.88,76.11,73.04,63.92,35.43,27.9
2011-03-01,81.43,79.08,73.54,66.8,34.93,27.97
2011-02-01,80.58,80.95,73.84,67.86,33.47,28.05
2011-01-01,78.47,78.52,75.29,69.06,33.52,25.95
2010-12-01,77.5,77.46,74.74,67.58,32.84,25.73
2010-11-01,76.47,76.0,72.25,68.69,31.63,26.67
2010-10-01,72.86,77.53,72.25,67.68,33.52,28.83
2010-09-01,73.68,76.77,66.39,67.21,33.06,28.28
2010-08-01,75.0,76.57,69.66,67.96,36.0,27.88
2010-07-01,75.44,76.22,63.49,63.87,33.83,30.92
2010-06-01,76.67,77.84,59.38,65.64,34.07,33.49
2010-05-01,76.92,78.79,60.74,65.43,37.5,34.13
2010-04-01,77.92,76.63,62.11,62.38,36.84,32.0
2010-03-01,77.36,76.59,65.7,63.35,35.71,29.84
2010-02-01,77.09,77.58,66.67,64.94,32.55,32.06
2010-01-01,75.0,79.13,64.65,66.95,33.33,31.87
2009-12-01,75.14,79.05,70.23,67.91,31.98,31.56
2009-11-01,76.6,78.08,73.16,67.82,30.96,29.73
2009-10-01,76.36,79.59,74.23,71.72,29.37,31.41
2009-09-01,76.14,79.38,75.11,72.54,29.36,33.03
2009-08-01,75.32,76.63,75.14,74.33,29.35,28.1
2009-07-01,79.52,72.84,80.11,77.25,27.6,25.0
2009-06-01,79.52,73.94,79.89,76.92,26.4,22.07
2009-05-01,80.34,75.0,81.43,81.82,22.92,18.67
2009-04-01,80.95,72.16,82.81,79.35,20.94,14.57
2009-03-01,81.62,74.17,82.29,77.25,18.55,15.38
2009-02-01,81.4,75.24,80.85,75.56,18.02,15.9
2009-01-01,81.61,75.45,81.46,72.93,18.15,18.22
2008-12-01,81.25,73.18,80.65,70.56,20.58,17.72
2008-11-01,80.66,72.98,79.65,69.92,23.48,20.69
2008-10-01,81.59,75.82,78.41,68.54,29.05,24.75
2008-09-01,80.74,74.24,77.74,66.36,35.23,25.82
2008-08-01,80.45,74.49,78.86,67.91,34.84,25.99
2008-07-01,79.28,75.18,76.6,69.97,38.51,26.49
2008-06-01,80.42,72.12,77.04,66.67,38.37,27.5
2008-05-01,82.03,71.92,77.84,64.62,36.75,29.85
2008-04-01,81.29,70.75,76.31,63.53,34.64,29.27
2008-03-01,79.74,72.47,76.32,62.3,36.41,30.08
2008-02-01,79.55,72.18,75.07,61.46,36.89,30.16
2008-01-01,80.37,72.33,76.23,59.58,34.53,29.18
2007-12-01,79.87,76.58,75.77,61.43,35.18,31.11
2007-11-01,77.58,78.07,73.9,61.61,36.39,28.37
2007-10-01,76.95,79.41,74.33,63.67,36.15,29.17
2007-09-01,78.22,77.46,73.26,65.97,34.41,30.0
2007-08-01,79.41,78.3,73.97,64.29,34.8,29.89
2007-07-01,76.92,79.27,72.68,65.12,37.89,30.25
2007-06-01,76.99,80.0,71.97,66.45,38.24,29.48
2007-05-01,78.16,80.15,75.0,67.79,45.74,29.94
2007-04-01,81.18,80.0,79.35,69.13,53.19,33.73
2007-03-01,80.0,85.95,82.42,73.64,54.84,35.21
2007-02-01,75.58,86.36,80.21,76.64,57.29,36.91
2007-01-01,74.51,85.38,76.92,78.1,49.57,39.74
2006-12-01,75.0,83.89,75.76,73.78,49.62,39.11
2006-11-01,75.21,85.29,77.14,73.33,45.39,42.07
2006-10-01,73.74,85.22,77.12,71.54,43.22,38.73
2006-09-01,74.73,83.5,75.45,69.23,40.0,39.23
2006-08-01,81.11,82.35,79.63,69.49,40.74,41.79
2006-07-01,87.18,82.52,84.78,67.21,48.35,40.74
2006-06-01,88.89,87.5,87.67,69.0,49.3,43.36
2006-05-01,92.59,83.33,87.69,68.57,57.81,46.34
2006-04-01,92.0,83.93,88.76,70.97,57.95,48.61
2006-03-01,87.78,84.13,85.19,68.31,53.64,46.99
2006-02-01,83.91,83.93,81.9,65.38,53.27,44.52
2006-01-01,78.57,82.73,79.17,67.46,47.97,47.52
2005-12-01,77.14,81.98,79.07,64.93,50.76,47.59
2005-11-01,74.36,82.73,76.09,66.15,50.0,46.21
2005-10-01,72.57,80.51,72.79,64.03,48.57,45.75
2005-09-01,74.6,80.49,73.97,64.79,46.26,44.81
2005-08-01,75.0,81.82,74.68,66.25,44.65,45.76
2005-07-01,75.57,84.25,73.97,65.63,45.21,44.07
2005-06-01,76.86,84.25,72.39,66.88,43.28,44.83
2005-05-01,81.82,85.52,75.81,65.63,40.65,43.93
2005-04-01,79.49,86.27,75.54,61.68,43.48,40.33
2005-03-01,79.21,87.84,74.8,61.96,50.4,39.2
2005-02-01,81.48,87.7,75.45,60.45,50.0,38.62
2005-01-01,82.19,87.8,74.26,61.43,52.0,38.93
2004-12-01,75.56,88.62,70.69,64.03,46.96,39.33
2004-11-01,72.09,87.2,69.09,63.04,47.71,36.42
2004-10-01,72.94,87.18,66.0,65.35,43.88,37.14
2004-09-01,71.11,85.83,66.35,65.87,41.75,41.73
2004-08-01,72.9,84.87,66.67,64.85,43.31,40.56
2004-07-01,74.34,83.87,68.18,59.04,41.35,42.08
2004-06-01,77.57,84.47,70.23,59.77,43.08,40.21
2004-05-01,77.45,85.42,67.19,60.76,39.37,41.18
2004-04-01,81.11,87.32,70.8,64.2,38.05,40.46
2004-03-01,88.04,89.29,74.11,65.03,35.4,38.07
2004-02-01,87.91,93.38,74.77,66.45,35.85,39.52
2004-01-01,90.1,95.62,76.03,72.37,42.5,39.16
2003-12-01,92.52,95.28,78.69,69.29,43.09,41.18
2003-11-01,91.74,93.18,78.99,67.83,47.54,43.4
2003-10-01,90.83,92.99,79.85,65.19,47.45,48.88
2003-09-01,89.19,93.06,76.8,66.43,48.82,48.15
2003-08-01,88.06,90.57,76.0,68.99,51.63,44.38
2003-07-01,87.5,88.89,76.64,66.24,50.36,41.01
2003-06-01,86.92,89.39,74.6,69.83,49.61,40.69
2003-05-01,88.29,90.86,75.94,72.04,48.51,41.9
2003-04-01,85.71,91.03,72.93,76.28,44.85,35.96
2003-03-01,84.35,89.62,71.74,74.86,42.55,35.75
2003-02-01,86.21,90.85,69.09,75.93,31.25,36.51
2003-01-01,82.8,90.48,66.09,78.92,24.58,35.79
2002-12-01,80.23,88.51,63.64,78.23,23.42,32.14
2002-11-01,80.25,86.47,65.05,76.3,21.15,28.95
2002-10-01,80.25,85.5,60.75,73.05,23.58,29.56
2002-09-01,81.48,84.48,57.41,70.99,25.47,31.33
2002-08-01,80.77,85.04,57.58,65.03,30.93,34.36
2002-07-01,84.15,87.5,57.73,57.69,40.21,35.59
2002-06-01,84.21,88.39,55.86,56.57,36.04,39.59
2002-05-01,83.18,89.33,49.21,57.21,33.07,40.71
2002-04-01,80.0,88.78,44.7,57.33,32.58,39.37
2002-03-01,81.67,90.59,50.37,58.45,31.11,40.57
2002-02-01,80.0,89.08,48.41,58.12,29.6,38.76
2002-01-01,78.95,88.49,46.43,62.26,24.77,40.23
2001-12-01,74.55,89.09,50.82,61.48,25.0,36.57
2001-11-01,73.2,90.32,54.72,60.0,24.27,33.33
2001-10-01,79.52,92.5,60.0,60.42,22.47,35.05
2001-09-01,77.65,88.64,58.51,57.55,26.6,30.19
2001-08-01,78.05,90.79,58.89,58.06,26.37,32.26
2001-07-01,77.22,90.14,58.62,56.98,27.27,31.4
2001-04-01,87.5,89.55,58.93,59.76,31.58,32.93
2000-10-01,74.07,75.61,53.57,55.77,30.0,38.89
2000-04-01,56.82,76.34,31.03,27.68,26.23,30.25
1999-10-01,66.67,77.14,28.79,34.83,25.0,32.29
1999-04-01,54.74,75.59,33.04,31.61,26.27,34.59
